service_class,resource_path,sdk_source_file
AIApplicationService,/v1/aiApplications,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/ai/AIApplicationService.java
AIGovernancePolicyService,/v1/aiGovernancePolicies,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/governance/AIGovernancePolicyService.java
APICollectionService,/v1/apiCollections,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/apiservice/APICollectionService.java
APIEndpointService,/v1/apiEndpoints,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/apiservice/APIEndpointService.java
APIServiceService,/v1/services/apiServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/APIServiceService.java
BotService,/v1/bots,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/bots/BotService.java
ChartService,/v1/charts,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/ChartService.java
ClassificationService,/v1/classifications,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/classification/ClassificationService.java
ContainerService,/v1/containers,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/storages/ContainerService.java
DashboardDataModelService,/v1/dashboard/datamodels,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/DashboardDataModelService.java
DashboardService,/v1/dashboards,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/DashboardService.java
DashboardServiceService,/v1/services/dashboardServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/DashboardServiceService.java
DataContractService,/v1/dataContracts,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/datacontracts/DataContractService.java
DataInsightChartService,/v1/analytics/dataInsights/charts,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/datainsight/DataInsightChartService.java
DataProductService,/v1/dataProducts,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/domains/DataProductService.java
DatabaseSchemaService,/v1/databaseSchemas,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/databases/DatabaseSchemaService.java
DatabaseService,/v1/databases,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/databases/DatabaseService.java
DatabaseServiceService,/v1/services/databaseServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/DatabaseServiceService.java
DirectoryService,/v1/drives/directories,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/drives/DirectoryService.java
DirectoryService,/v1/drives/directories,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/storages/DirectoryService.java
DomainService,/v1/domains,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/domains/DomainService.java
DriveServiceService,/v1/services/driveServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/DriveServiceService.java
EventSubscriptionService,/v1/events/subscriptions,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/events/EventSubscriptionService.java
FileService,/v1/drives/files,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/drives/FileService.java
FileService,/v1/drives/files,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/storages/FileService.java
GlossaryService,/v1/glossaries,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/glossary/GlossaryService.java
GlossaryTermService,/v1/glossaryTerms,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/glossary/GlossaryTermService.java
IngestionPipelineService,/v1/services/ingestionPipelines,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/ingestion/IngestionPipelineService.java
KpiService,/v1/kpi,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/kpi/KpiService.java
LLMModelService,/v1/llmModels,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/ai/LLMModelService.java
LLMServiceService,/v1/services/llmServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/LLMServiceService.java
LearningResourceService,/v1/learning/resources,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/learning/LearningResourceService.java
MessagingServiceService,/v1/services/messagingServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/MessagingServiceService.java
MetadataServiceService,/v1/services/metadataServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/MetadataServiceService.java
MetricService,/v1/metrics,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/MetricService.java
MlModelService,/v1/mlmodels,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/dataassets/MlModelService.java
MlModelServiceService,/v1/services/mlmodelServices,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/services/MlModelServiceService.java
NotificationTemplateService,/v1/notificationTemplates,openmetadata-sdk/src/main/java/org/openmetadata/sdk/services/events/NotificationTemplateService.java
